campus,curso,matricula,nome,email_institucional
Centro Sul,Computação,20240001,João Nobre,joao.nobre@aluno.instituicao.edu.br
Centro Sul,Computação,20240002,Maria Filipe,maria.filipe@aluno.instituicao.edu.br
Centro Sul,Computação,20240003,Pedro Moisés,pedro.moises@aluno.instituicao.edu.br
Centro Sul,Computação,20240004,Ana Costa,ana.costa@aluno.instituicao.edu.br
Centro Sul,Engenharia,20240005,Lucas Almeida,lucas.almeida@aluno.instituicao.edu.br
Centro Sul,Matemática,20240006,Beatriz Silva,beatriz.silva@aluno.instituicao.edu.br
Centro Sul,Computação,20240007,Rafael Souza,rafael.souza@aluno.instituicao.edu.br
Centro Sul,Engenharia,20240008,Sofia Pereira,sofia.pereira@aluno.instituicao.edu.br
Centro Sul,Computação,20240009,Marcos Rocha,marcos.rocha@aluno.instituicao.edu.br
Centro Sul,Computação,20240010,Helena Ramos,helena.ramos@aluno.instituicao.edu.br
Centro Sul,Biofísica,20240011,Thiago Martins,thiago.martins@aluno.instituicao.edu.br
Centro Sul,Computação,20240012,Carla Fernandes,carla.fernandes@aluno.instituicao.edu.br
